X,Y,key
208875.191449263,162195.545636711,"1"
208846.404864763,162348.29031052,"3"
208819.285513059,162254.530643964,"2"
208914.530931297,162568.209318629,"7"
208867.027993284,162523.282916759,"8"
208867.349935464,162434.079045557,"4"
212894.768586104,169017.615440107,"13"
212863.528264396,169162.272865266,"15"
212884.695238441,169105.413592814,"14"
213458.11976874,168317.400441568,"17"
212898.558621909,168965.15958588,"19"
212924.401196745,168912.381840682,"20"
212968.675453623,168823.053632424,"21"
213019.450936714,168739.89636816,"22"
213097.508105942,168684.51729918,"23"
213160.278830605,168622.496819741,"24"
213206.51384967,168555.50266546,"25"
213280.698934593,168494.363207308,"26"
213349.465082325,168460.831457183,"27"
213408.905375367,168386.177379429,"18"
206929.500794087,163954.770465841,"28"
206686.052919981,163878.059896684,"30"
206894.472890092,163941.387822682,"32"
206835.757807469,163926.837969311,"33"
206741.788074501,163897.558147552,"31"
206667.521066598,163861.793432639,"34"
206619.479626356,163794.568994158,"35"
206651.700237338,163824.39829265,"36"
206611.226370098,167765.001211222,"37"
206303.742330659,167974.294805566,"39"
206327.132147304,167928.490373305,"41"
206353.276202143,167852.312873378,"42"
206446.266046132,167818.745030313,"43"
206541.663055091,167788.98108184,"38"
208480.661510079,169788.199855722,"44"
208425.753985584,169742.584130495,"45"
208731.758143313,170019.781899281,"47"
208529.899125905,169860.725856008,"49"
208588.211849796,169936.754353842,"50"
208664.299431879,169996.545691473,"48"
209509.224095874,161226.534334128,"51"
209533.460243576,161356.428173664,"53"
209510.099198662,161278.421244156,"52"
209520.552459914,160843.952869074,"55"
209532.862060042,161219.237634043,"57"
209565.814179259,161186.13691241,"58"
209554.381432126,161090.691483522,"59"
209541.226922699,160992.689039108,"60"
209507.913322469,160903.632636182,"56"
212671.355780048,169251.724480514,"61"
212652.747797147,169318.547461528,"62"
205255.790058069,170099.991600027,"64"
205222.458088279,170245.389184362,"66"
205169.741715841,170164.036840537,"68"
205209.913367236,170115.492190036,"65"
205366.351580993,170544.008802198,"69"
205321.085622995,170503.673825091,"71"
205310.939229766,170414.809014394,"72"
205281.778447585,170325.802995475,"67"
206861.536450905,172251.613574742,"73"
206407.067075863,172131.901345526,"75"
206491.762745871,172172.048896957,"77"
206583.614087365,172206.124521776,"78"
206676.892112345,172232.777477058,"79"
206775.129406553,172244.650640071,"74"
205459.868007168,171710.532778028,"80"
205678.312137403,172018.875334028,"82"
205644.734427035,171980.735844144,"84"
205631.594742159,171908.512077824,"85"
205577.003668252,171841.877814266,"86"
205542.921124355,171781.5433171,"87"
205504.725407674,171734.081648359,"81"
205117.58533886,172252.292958674,"92"
205552.654753425,172233.253119449,"94"
205155.467282513,172269.966984144,"96"
205215.445760755,172292.561311793,"97"
205307.731436146,172302.454326723,"98"
205402.957136807,172286.222981013,"99"
205492.96515992,172250.125929451,"95"
205730.277354153,170741.827523512,"100"
204812.668848341,165583.862738058,"105"
204858.942744181,165592.169704234,"106"
204723.657517376,165475.50091466,"108"
204762.710305163,165544.787224364,"109"
207313.91754811,170123.229891303,"110"
207423.223562439,170241.325301218,"112"
207364.046427746,170162.958582292,"111"
207490.771793365,170287.662141768,"113"
207521.422260907,170820.870599534,"115"
207463.811313118,170830.960454171,"116"
207286.613009283,170864.656809365,"118"
207370.309479089,170866.042405017,"117"
207487.914621315,170312.334587108,"114"
207242.454391591,170814.065796326,"126"
207209.214720567,170750.824995386,"127"
207179.343132943,170667.089430515,"128"
207257.577454706,170636.627795661,"129"
207357.053627361,170626.411726507,"130"
207430.519580588,170594.106914509,"131"
207424.175095776,170498.950616955,"132"
207411.945360032,170399.703549005,"133"
207420.731961044,170318.77576456,"125"
207365.359915121,169896.185785583,"134"
207542.118395752,170218.966855635,"136"
207522.897914517,170120.890981801,"138"
207478.098748454,170034.193711004,"139"
207415.491334477,169956.220033907,"135"
207555.614968379,170291.083341596,"137"
205844.969675356,170602.049488075,"104"
205770.471741848,170719.083568635,"141"
205825.758296626,170671.133987331,"140"
212113.086324873,170940.355750608,"142"
211732.11684263,170710.27117751,"144"
211799.362711285,170748.384923752,"146"
211891.998144765,170785.45843281,"147"
211982.09775144,170826.13077336,"148"
212057.814665067,170890.604410181,"143"
211454.364540488,170121.431316692,"149"
211345.784162492,170250.872930392,"151"
211409.408691482,170177.639120225,"150"
211306.405172134,170300.128894439,"152"
211912.223986097,169207.373500767,"154"
211441.899484224,169289.748739325,"156"
211512.882374441,169321.968480743,"158"
211608.51754097,169350.950446425,"159"
211691.531172586,169326.719215847,"160"
211774.476342543,169294.442779371,"161"
211863.091069005,169272.135643967,"155"
213645.091073104,170711.079946821,"162"
213063.330648665,170653.423234593,"164"
213117.901465055,170683.149994308,"166"
213200.802133893,170736.946907798,"167"
213286.313762221,170756.919251082,"168"
213367.345437744,170709.25272139,"169"
213433.930422706,170730.560648862,"170"
213509.096996677,170762.420967404,"171"
213581.011912261,170719.725768335,"163"
213831.318152323,169408.679760747,"172"
213707.375923003,169347.438169216,"174"
213757.347925323,169364.556463416,"173"
207569.025889858,159415.864936989,"176"
207307.828630858,159439.260879238,"178"
207371.275653603,159375.97186565,"180"
207441.810770931,159328.61417282,"181"
207514.915393297,159374.197280322,"177"
208932.137252735,171097.54992666,"182"
208511.501512149,170934.617586666,"184"
208596.028199785,170967.790507045,"186"
208688.982387989,171004.49524346,"187"
208782.284225918,171040.460792228,"188"
208875.748230837,171076.019083065,"183"
207637.003832452,169526.219204126,"189"
207321.671214485,169586.494808851,"191"
207379.005235751,169537.992153466,"193"
207478.341913529,169534.634978419,"194"
207578.248090955,169531.79610768,"190"
207279.541901156,170081.905597938,"195"
207262.749798783,169991.102449693,"196"
207248.697169844,169892.094925125,"197"
207232.297991204,169796.032300056,"198"
207176.193290402,169768.23121471,"199"
207200.793870593,169694.217026258,"200"
207267.835059964,169645.816238318,"192"
203341.172653553,164429.597282488,"201"
203562.302420983,164434.007833976,"203"
203496.28277323,164421.933106339,"205"
203397.307391933,164427.372816763,"202"
207758.561086823,169642.555483013,"206"
207814.560733122,169646.001198827,"208"
207794.137148128,169646.198548106,"209"
207578.559664456,170343.710193597,"124"
207535.23901117,170797.134541282,"211"
207548.396892802,170724.143406459,"212"
207565.626144021,170625.641138447,"213"
207582.490312908,170527.074157937,"214"
207593.847468475,170428.49139377,"210"
209530.125698756,170143.119611458,"215"
208788.717100686,170000.833741286,"217"
208876.916359287,170022.921679186,"218"
208925.213733077,170094.62800088,"219"
209002.029102178,170156.309106564,"220"
209084.652348402,170201.993672333,"221"
209383.445791814,170216.377923016,"222"
209463.866893264,170178.316115646,"216"
209153.622999233,170220.782426579,"224"
209212.58056857,170288.367465135,"225"
209297.196763343,170259.29800588,"223"
209617.825927424,160724.607355691,"228"
209647.517526544,160678.318971676,"230"
209727.493953286,160680.02707452,"231"
209825.050201405,160689.257670655,"232"
209924.217591295,160699.839207179,"227"
213158.647314486,170557.625165245,"233"
213060.135771781,170634.168809423,"235"
213098.190291488,170591.938400192,"234"
213503.52848805,170247.562071824,"12"
213209.963438142,170559.563669622,"237"
213259.579596843,170507.196353759,"238"
213320.221898466,170427.691620528,"239"
213370.277041488,170352.626926168,"240"
213445.633712795,170306.647673474,"236"
212424.115030825,166752.109574532,"241"
212287.715350495,166731.161336599,"243"
212350.430730185,166742.09167959,"242"
214718.274451347,170649.743797571,"245"
213917.10097685,170716.87845734,"247"
213997.810692149,170718.794297228,"249"
214096.300767704,170728.003898089,"250"
214194.581118244,170745.645493845,"251"
214264.755773683,170718.590578022,"252"
214356.069888002,170702.953713835,"253"
214449.782824619,170710.618770596,"254"
214544.764458072,170728.628593366,"255"
214623.632352278,170767.229608699,"256"
214680.013414171,170727.105214294,"246"
209598.96850545,160744.354509474,"229"
209559.615340919,160792.774115179,"257"
211038.754505864,158501.615883722,"258"
211032.351134884,158507.1260309,"259"
212816.684393092,170499.567300434,"261"
212729.33162324,170411.439981257,"263"
212774.163383859,170446.405640961,"262"
211314.916054668,167937.209217035,"265"
211350.627297021,168115.462800758,"267"
211294.96246791,168065.319187154,"269"
211258.40270176,167995.477364848,"266"
211389.378511992,168143.810301574,"268"
211460.67961538,168296.560088674,"274"
211430.91757102,168201.988887272,"273"
211454.365974146,168456.115139425,"276"
211475.918515556,168381.868826964,"275"
211065.5200314,168423.43726973,"278"
211126.667266392,168970.30093817,"280"
211092.907062046,168889.130386421,"282"
211109.130827859,168815.231525728,"283"
211184.451682861,168749.475290967,"284"
211245.840533223,168682.134469609,"285"
211199.97218133,168611.373147033,"286"
211127.827143076,168547.950777355,"287"
211090.378408964,168461.66731246,"279"
210976.533286748,169059.875613172,"288"
211053.979043582,169021.765821311,"281"
206358.29914068,172124.795687386,"76"
205578.594315337,172260.187166319,"291"
205593.984906697,172333.518909261,"292"
205662.229721448,172361.263456984,"293"
205760.726596319,172353.125918862,"294"
205860.212133483,172356.345347866,"295"
205955.233870952,172345.477367887,"296"
206023.900884935,172327.178681894,"297"
206109.093404435,172368.902004962,"298"
206193.834592021,172330.256475891,"299"
206257.625353378,172253.836417836,"300"
206319.385052148,172175.189775731,"290"
212250.316955384,166724.381058026,"244"
210363.93700272,165825.262626784,"302"
210439.498015373,165864.92242206,"304"
210526.713402799,165907.521467032,"305"
210611.84812111,165958.048983389,"306"
210702.23302141,166000.537349396,"307"
210777.862444134,166061.674025475,"308"
210848.457665073,166132.127265372,"309"
210931.136961178,166187.533916483,"310"
211016.800064171,166238.953341803,"311"
211106.476050943,166280.689946104,"312"
211202.477118223,166308.142977164,"313"
211293.931773072,166301.338347377,"314"
211384.663677495,166290.739991059,"315"
211478.030165775,166325.935804211,"316"
211564.14061621,166375.447205216,"317"
211642.572944578,166437.33330329,"318"
211724.833359678,166493.906329085,"319"
211814.400969938,166537.991554685,"320"
211905.982745996,166578.057204899,"321"
211997.712150829,166617.873766385,"322"
212089.428323781,166657.720445142,"323"
212180.799230464,166698.33811852,"301"
208465.086006757,170916.168156605,"185"
208246.905228755,170784.256818596,"325"
208319.136007351,170844.851953239,"327"
208407.384583706,170891.022054872,"324"
209944.083292465,168964.028819347,"328"
209722.520934495,169207.594201232,"330"
209772.837691095,169152.702765181,"332"
209839.840428108,169078.482556754,"333"
209907.42786689,169004.782184732,"329"
209905.34300556,168887.723144179,"334"
209947.365469372,168931.20015967,"335"
204090.899950049,164284.795165085,"338"
204092.289951535,164342.8319177,"339"
204566.296675399,165178.230474276,"343"
204527.664174518,165085.995615541,"345"
204488.801694314,164993.860315845,"342"
204689.478178412,165409.614933216,"346"
204648.746331694,165352.516170184,"347"
204605.045699541,165270.416407914,"344"
204100.113146594,164408.836590626,"340"
204177.092856344,164559.812434239,"349"
204131.296460047,164470.915890703,"348"
204377.330171929,164868.839528728,"353"
204316.360289746,164822.422011505,"354"
204267.976694762,164737.86428488,"355"
204222.521983493,164648.884810339,"350"
205676.575515982,170754.547806152,"101"
205630.468749187,170817.312957101,"356"
206136.052065799,156697.782011081,"366"
206277.892675277,157056.614564652,"368"
206255.30573662,156959.964852548,"370"
206214.510343053,156868.803389176,"371"
206172.812602589,156777.911703968,"367"
206339.803266339,157451.794370199,"372"
206324.325618572,157352.999418811,"374"
206308.847970809,157254.204467426,"375"
206293.370323041,157155.409516038,"369"
206370.75856188,157649.384272979,"376"
206355.280914108,157550.589321594,"373"
204902.816590901,157756.59979013,"378"
204958.007671587,157756.285447007,"380"
205057.974106682,157755.541406903,"381"
205154.506287696,157753.009265526,"382"
205249.191646744,157782.867515837,"383"
205343.910120607,157814.936359105,"384"
205438.628594462,157847.005202374,"385"
205533.347068329,157879.074045644,"386"
205628.065542196,157911.142888916,"387"
205722.784016059,157943.211732189,"388"
205817.502489929,157975.280575458,"389"
205912.220963794,158007.349418729,"390"
206006.939437653,158039.418262,"391"
206101.657911517,158071.48710527,"392"
206196.842888466,158081.574323365,"393"
206292.823281687,158054.181527006,"394"
206385.152681692,158023.71142333,"395"
206412.40881016,157945.218284104,"396"
206401.71385741,157846.974175749,"397"
206386.236209644,157748.179224363,"377"
206880.264910864,170912.523706752,"398"
206795.900264208,170888.786544815,"399"
206748.048975766,170874.326891262,"400"
206737.488147691,170870.617025626,"401"
209242.841738128,169217.543525607,"403"
209139.547123323,169359.295847476,"405"
209187.126369111,169295.67150463,"404"
209689.581596191,169235.846110543,"331"
209281.898927814,169187.989644671,"408"
209321.108306338,169242.821530158,"409"
209393.499556258,169284.87561052,"410"
209482.920647412,169324.698233955,"411"
209571.299849224,169339.669981627,"412"
209635.929832733,169269.612349924,"407"
206628.260922798,167687.098780277,"413"
206647.196956604,167741.133699965,"414"
208351.422764392,169710.686701646,"415"
208184.5850934,169530.676251674,"417"
208236.138509688,169586.017866616,"418"
208303.696979209,169659.741421596,"416"
208384.897562487,169720.793962465,"46"
209437.224663574,168635.152717102,"419"
209475.745656099,168747.831705957,"421"
209442.766618287,168673.210268438,"420"
209653.825607821,168984.391437888,"423"
209607.312510691,168896.539058524,"425"
209544.541781166,168820.395901766,"422"
209681.786848473,169201.666785468,"426"
209638.511181773,169141.669365154,"427"
209680.59213848,169068.606767263,"424"
209361.145724644,168565.282143614,"428"
209403.242826787,168604.76884219,"429"
208185.41691613,169202.127350933,"430"
208190.593265219,169214.899011372,"431"
207948.038090434,168268.613743016,"433"
207982.069009566,168354.693122808,"434"
208205.778020668,168713.795976573,"436"
208194.06027613,168666.043108146,"438"
208154.317469173,168653.268576578,"439"
208103.304727907,168625.932156645,"440"
208059.835022904,168538.658684128,"441"
208020.944830791,168446.676829248,"435"
208269.503178141,169003.719141761,"442"
208322.916258896,168934.297168458,"444"
208285.565234131,168880.484781236,"445"
208219.575133556,168819.788786271,"446"
208253.214901922,168751.170739103,"437"
208169.072198145,169162.104930957,"447"
208134.771753051,169088.898086099,"448"
208183.371658612,169049.161547408,"443"
206087.671379758,172006.003743199,"90"
205998.45967787,172094.93544916,"450"
206038.374226024,172014.023588828,"449"
205577.279608288,172234.470505292,"452"
205625.305767485,172213.838514442,"453"
205705.707417039,172186.808469304,"454"
205778.245545634,172163.447344848,"455"
205853.884000721,172146.029688321,"456"
205945.938780441,172151.732350632,"451"
213900.869591245,170760.324804594,"459"
213982.73203367,170806.224381614,"460"
214072.94323627,170848.19235154,"461"
214169.815863695,170868.635385239,"462"
214211.226646334,170934.857777742,"463"
214219.749344341,171034.01725543,"464"
214191.076651885,171126.23478218,"465"
213882.287429611,169456.417411342,"480"
213933.173482539,169514.228192521,"481"
214015.018861319,169563.217376007,"482"
214161.179982442,169570.474452075,"483"
214089.083043531,169590.736408126,"484"
214223.22396669,169589.216092161,"485"
214186.278539549,169270.940632479,"486"
213880.099731301,169405.02776854,"488"
213927.826436361,169335.457572981,"489"
213988.87053822,169276.195754442,"490"
214062.919779803,169282.969779675,"491"
214137.426640517,169300.740951697,"487"
213945.076273235,169066.585707806,"492"
213709.345452055,169332.217480308,"494"
213732.176695314,169271.574686354,"495"
213778.702735149,169183.764978992,"496"
213836.685573432,169125.525589493,"497"
213906.890690286,169118.945610263,"493"
211319.240785628,169612.57720204,"498"
210738.414138746,170037.294203313,"500"
210773.882522112,169957.385005795,"502"
210823.524151268,169891.385696599,"503"
210892.136731551,169832.773317198,"504"
210956.395122962,169756.377981556,"505"
210997.254857028,169681.883783274,"506"
211072.426937125,169630.490472539,"507"
211140.455163964,169594.462418165,"508"
211234.653472275,169602.613100657,"499"
209537.970596463,161397.617035473,"54"
209532.576520663,161449.262646126,"509"
209550.74755878,161493.85999319,"510"
205448.588195956,171071.071522552,"512"
205484.665851818,171491.210284691,"514"
205464.624283386,171402.164522271,"516"
205471.8360833,171307.884219276,"517"
205470.147763903,171223.024989924,"518"
205433.764417676,171153.625959459,"513"
204937.864944618,171538.941879567,"521"
205084.48479905,171584.436506985,"523"
205002.197308076,171541.623554189,"522"
205443.013495713,171700.147572191,"525"
205382.900569684,171676.998273108,"526"
205290.662915228,171666.47197868,"527"
205203.319180687,171702.211887284,"528"
205121.012987749,171663.531463077,"524"
204871.171802831,171625.196356547,"529"
204918.573875743,171582.759006507,"530"
206163.312930692,171042.824637704,"531"
206163.353954845,171051.539126657,"532"
206119.041198561,171034.75530681,"1902"
206056.505597392,171033.917540022,"534"
206601.611610664,170779.100821295,"536"
206558.983053557,170841.948303234,"537"
206171.795052488,171015.79441696,"539"
206189.397615944,170946.922720164,"540"
206274.007120946,170921.995167765,"541"
206371.448132635,170904.685989419,"542"
206467.894791691,170878.854973542,"538"
210950.928741214,169096.376541431,"289"
210992.334686051,169247.714579395,"544"
210969.681965833,169164.235689277,"543"
212369.951637157,169084.584321493,"548"
212394.332177161,169221.374801077,"549"
212371.371766612,169147.06412678,"547"
212702.191111861,170395.887127364,"264"
211501.73365734,170117.9634435,"551"
211588.148899555,170133.559101044,"552"
211680.801842218,170158.465839963,"553"
211754.231506451,170114.374349105,"554"
211814.284843013,170035.643411326,"555"
211882.790864195,169992.834209585,"556"
211963.264083187,170045.554487512,"557"
212040.60333217,170068.250293254,"558"
212122.63882287,170061.510833493,"559"
212215.102035299,170095.098795984,"560"
212307.203017213,170104.623908145,"561"
212386.811919072,170105.338046448,"562"
212425.944323769,170191.14229968,"563"
212480.763462356,170271.203551278,"564"
212567.196616189,170311.538763502,"565"
212651.144574771,170355.102033241,"550"
211901.447997281,171643.021022773,"566"
211379.967605567,170351.803986104,"568"
211408.750565292,170397.016236614,"570"
211446.714733755,170479.273470182,"571"
211481.166752957,170567.417136282,"572"
211527.859175991,170653.097442334,"573"
211546.572161031,170750.363000277,"574"
211565.925205979,170847.385973051,"575"
211614.589876793,170932.539362233,"576"
211656.788139841,171022.875322141,"577"
211681.559732685,171115.353486685,"578"
211686.645352724,171211.899737078,"579"
211709.367203093,171308.862602547,"580"
211777.268788466,171342.07620306,"581"
211840.811471452,171392.740716289,"582"
211875.826012688,171484.190183643,"583"
211887.757577807,171583.226406295,"567"
211890.506812486,171665.177228071,"584"
211694.033448878,170692.54114804,"145"
211568.447920011,170542.790920844,"586"
211591.96814607,170605.971569623,"588"
211637.203244834,170686.398453221,"585"
212706.791023253,169418.264260967,"589"
212661.849158123,169379.744071452,"590"
212949.912533919,169657.709135187,"591"
212761.330348508,169470.951885613,"593"
212824.958666473,169541.34801389,"594"
212892.457217587,169613.147351776,"592"
210860.295457044,168919.599292603,"597"
210820.115388576,168831.29686587,"599"
210769.150839384,168751.616297331,"596"
210930.401795645,169066.520994368,"600"
210890.95623573,169012.835685758,"598"
213740.728100666,170490.413539435,"601"
213664.128012512,170705.668856926,"603"
213666.62859409,170647.148578537,"604"
213689.897317115,170552.397344494,"602"
213931.110311882,170198.490807309,"605"
213793.37665771,170440.586000326,"607"
213843.865087967,170365.238441414,"608"
213897.019332788,170283.019747112,"606"
212634.363955251,169360.38546456,"63"
212421.023269147,169274.447267305,"610"
212489.197495593,169307.678446687,"611"
212582.467440222,169338.921661562,"609"
210797.580284289,159323.625888029,"612"
210832.116139071,159380.048712223,"613"
211028.241538055,158515.979820671,"260"
211012.228664807,158955.626018823,"616"
211043.592325794,158861.045040197,"618"
211049.890766483,158762.376912257,"619"
211038.677888267,158663.377264429,"620"
211034.551568917,158567.654151593,"615"
210808.622182201,159278.302292888,"621"
210853.565304806,159208.30696506,"622"
210907.535099874,159124.127012212,"623"
210962.186689572,159040.650153215,"617"
213116.46368402,169115.890506385,"624"
212903.715840728,169186.325893826,"626"
212976.916811593,169178.531288523,"627"
213058.119100518,169128.860250937,"625"
213699.408080307,169343.635747881,"175"
213149.308959014,169131.844681467,"629"
213212.354646402,169168.905798407,"630"
213308.102721291,169175.542905602,"631"
213403.920038038,169189.860931821,"632"
213481.918131619,169239.241470158,"633"
213558.570085367,169294.026372286,"634"
213648.272153418,169327.783845455,"628"
212665.693532717,166691.473317784,"635"
212525.049050293,166740.886494107,"637"
212594.663796394,166714.651490615,"636"
212851.087567206,169188.034809906,"16"
212720.471856898,169239.836083902,"640"
212789.983404546,169202.627092446,"639"
208974.625702757,162728.168933523,"9"
209218.63607341,163094.539790532,"642"
209153.436704701,163032.611673632,"644"
209083.938328826,162960.875642278,"645"
209021.584233595,162883.451475538,"646"
208985.281495658,162793.865867448,"641"
213706.221973679,170717.141090798,"648"
211383.444255283,170335.63875638,"569"
211337.913002921,170316.751321272,"649"
213045.843936935,170644.440055686,"165"
212834.704959423,170547.888176315,"651"
212874.160339203,170592.00961859,"652"
212940.165542779,170655.512294575,"653"
213006.383587697,170651.492743312,"650"
210190.023640566,162920.979646406,"654"
209280.753115705,163108.334047008,"656"
209358.221647973,163067.563668863,"657"
209447.790673296,163024.609821355,"658"
209536.277725023,162982.318923603,"659"
209622.649147019,162937.602663798,"660"
209699.362070343,162877.184785799,"661"
209763.829665007,162801.417576105,"662"
209849.902055209,162760.839790003,"663"
209945.385184432,162783.617725534,"664"
210036.680290503,162823.495699391,"665"
210117.586503281,162881.61419434,"655"
211165.1966586,169943.73193433,"666"
211130.841732236,169927.814251835,"667"
